WorkCentre Pro / WCP-16 <> Xerox WorkCentre PE16e
OkiFax-4500 <> OKI B4500
WorkCentre Pro / WCP-16 <> Xerox WorkCentre PE16e
OkiFax-4500 <> OKI B4500
WorkCentre Pro / WCP-16 <> Xerox WorkCentre PE16e
OkiFax-4500 <> OKI B4500
WorkCentre Pro / WCP-16 <> Xerox WorkCentre PE16e
OkiFax-4500 <> OKI B4500
BN-200 <> Canon FC200
BN-200 <> Canon iPF TM200
BN-200 <> Canon S200
BN-200 <> Canon SmartBase MPC200
BN-200 <> Canon CP-200
BN-200 <> Canon imagePROGRAF TM-200 MFP L24ei
BN-200 <> Canon imagePROGRAF TM-200
BN-120 <> Canon VarioPrint 120
BN-120 <> Canon FAX-L120
BN-100 <> Canon FAX-L100
BN-100 <> Canon Faxphone L100
BN-100 <> Canon PIXMA iP100
BN-100 <> Canon S100
BN-100 <> Canon CP-100
BJC-240 <> Canon PIXMA MP240
BJ-100 <> Canon FAX-L100
DocuCentre-220 <> Xerox WorkCentre PE220
OkiJet-910 <> OKI proColor C910
BJC-610 <> Canon imagePROGRAF iPF610 plus
BJC-610 <> Canon iPF610
BJC-5100 <> Canon i-SENSYS LBP5100
BJC-5100 <> Canon imagePROGRAF iPF5100
BJC-4000 <> Canon imagePROGRAF PRO-4000
BJC-4100 <> Canon MF4100
NP-6850 <> Canon PIXMA MG6850
NP-6850 <> Canon PIXMA iX6850
DocuCentre-420 <> Xerox WorkCentre Pro 420 DC
DocuCentre-420 <> Xerox WorkCentre 420
DocuCentre-420 <> Xerox WorkCentre Pro 420
NP-3000 <> Canon LBP3000
NP-6050 <> Canon PIXMA TS6050
C-160 <> Canon PIXMA MP160
C-160 <> Canon i-SENSYS FAX-L160
GP-40 <> Canon imagePROGRAF iPF750 MFP M40 Solution
CLC-1000 <> Canon imagePROGRAF PRO-1000
CLC-3100 <> Canon i-SENSYS LBP3100
CLC-800 <> Canon LBP800
NP-2000 <> Canon LBP2000
NP-2000 <> Canon imagePROGRAF PRO-2000
NP-2025 <> Canon imageRUNNER 2025
NP-4000 <> Canon imagePROGRAF PRO-4000
NP-4040 <> Canon CLC4040
C-100 <> Canon FAX-L100
GP-605 <> Canon imagePROGRAF iPF605
NP-720 <> Canon imagePROGRAF iPF720
NP-720 <> Canon Selphy CP720
PC-10 <> Canon PIXMA PRO10
PC-10 <> Canon CP-10
PC-20 <> Canon imagePROGRAF TA20
PC-20 <> Canon Selphy ES20
PC-20 <> Canon MultiPASS C20
PC-24 <> Canon imagePROGRAF iPF670 MFP L24
PC-24 <> Canon imagePROGRAF LP24
PC-30 <> Canon imagePROGRAF TA30
PC-30 <> Canon Selphy ES30
PC-70 <> Canon i70
PC-80 <> Canon BJC-80
PC-80 <> Canon i80
PC-80 <> Canon MultiPASS C80
PC-850 <> Canon i850
PC-850 <> Canon PIXMA MX850
PC-850 <> Canon imagePROGRAF iPF850
PC-850 <> Canon imagePROGRAF iPF850 MFP M40 Solution
PC-870 <> Canon PIXMA MX870
FC-100 <> Canon FAX-L100
FC-100 <> Canon Faxphone L100
FC-100 <> Canon PIXMA iP100
FC-100 <> Canon S100
FC-100 <> Canon CP-100
FC-120 <> Canon VarioPrint 120
FC-120 <> Canon FAX-L120
FC-280 <> Canon PIXMA MP280
FC-300 <> Canon CD-300
FC-300 <> Canon imagePROGRAF TM-300 MFP L36ei
FC-300 <> Canon imagePROGRAF TM-300 MFP T36
FC-300 <> Canon iPF TM300
FC-300 <> Canon NP300
FC-300 <> Canon PC300
FC-300 <> Canon PIXMA MX300
FC-300 <> Canon S300
FC-300 <> Canon imagePROGRAF TM-300
FC-300 <> Canon CP-300
FC-530 <> Canon imageCLASS D530
FC-530 <> Canon Selphy CP530
FC-530 <> Canon PIXMA MP530
FC-540 <> Canon PIXMA MP540
FC-740 <> Canon PC740
FC-740 <> Canon Selphy CP740
FC-750 <> Canon PIXMA MP750
FC-750 <> Canon S750
FC-750 <> Canon imagePROGRAF iPF750
FC-750 <> Canon imagePROGRAF iPF750 MFP M40 Solution
FC-750 <> Canon Selphy CP750
FC-770 <> Canon imagePROGRAF iPF770 MFP L36
FC-770 <> Canon PC770
FC-770 <> Canon Selphy CP770
FC-770 <> Canon imagePROGRAF iPF770 MFP M40
FC-770 <> Canon imagePROGRAF iPF770 MFP M40 Solution
FC-770 <> Canon imagePROGRAF iPF770
GP-160 <> Canon PIXMA MP160
GP-160 <> Canon i-SENSYS FAX-L160
LBP-750 <> Canon imagePROGRAF iPF750 MFP M40 Solution
LBP-250 <> Canon PIXMA MP250
LBP-350 <> Canon NP350
LBP-350 <> Canon PIXMA MX350
LBP-350 <> Canon i350
LBP-1000 <> Canon imagePROGRAF PRO-1000
CD-200 <> Canon FC200
CD-200 <> Canon iPF TM200
CD-200 <> Canon S200
CD-200 <> Canon SmartBase MPC200
CD-200 <> Canon CP-200
CD-200 <> Canon imagePROGRAF TM-200 MFP L24ei
CD-200 <> Canon imagePROGRAF TM-200
FAX-2400 <> Ricoh MPW2400
FAX-2700 <> Ricoh AP2700
FAX-2700 <> Ricoh M2700
iR-4600 <> Canon MF4600
iR-5000 <> Canon LBP5000
iR-6000 <> Canon imagePROGRAF PRO-6000
FAX-2000 <> Ricoh AP2000
FAX-2000 <> Ricoh IMC2000
FAX-2000 <> Ricoh MP2000
FAX-2000 <> Ricoh MPC2000
DeskJet-310 <> HP Latex 310
DeskJet-310 <> HP PhotoSmart A310
DeskJet-320 <> HP PhotoSmart A320
DeskJet-400 <> HP Laserjet Pro 400 Color M451dw
DeskJet-400 <> HP Laserjet Pro 400 Color MFP M475dn
DeskJet-400 <> HP LaserJet Pro 400 M401dn
DeskJet-400 <> HP LaserJet Pro 400 M401dw
DeskJet-400 <> HP LaserJet Pro 400 MFP M425dw
DeskJet-400 <> HP Laserjet Pro 400 Color M451dn
